mode,scenario_id,entropy,n_models,p1
instant,CD01,0.9709505944546686,5,0.4
instant,CD02,0.0,5,0.0
instant,CD03,0.0,5,1.0
instant,CD04,0.0,5,1.0
instant,CD05,0.0,5,1.0
instant,CD06,0.0,5,0.0
instant,CD07,0.0,5,0.0
instant,CD08,0.0,5,0.0
instant,CD09,0.0,5,1.0
instant,CD10,0.0,5,0.0
instant,DS01a,0.0,5,1.0
instant,DS01b,0.0,5,1.0
instant,DS01c,0.0,5,1.0
instant,DS02a,0.0,5,1.0
instant,DS02b,0.0,5,1.0
instant,DS02c,0.0,5,0.0
instant,DS03a,0.7219280948873623,5,0.8
instant,DS03b,0.9709505944546686,5,0.6
instant,DS03c,0.7219280948873623,5,0.8
instant,DS04a,0.0,5,1.0
instant,DS04b,0.0,5,1.0
instant,DS04c,0.0,5,1.0
instant,DS05a,0.0,5,0.0
instant,DS05b,0.0,5,0.0
instant,DS05c,0.0,5,0.0
instant,DS06a,0.0,5,1.0
instant,DS06b,0.0,5,1.0
instant,DS06c,0.0,5,1.0
instant,DS07a,0.0,5,1.0
instant,DS07b,0.0,5,1.0
instant,DS07c,0.7219280948873623,5,0.8
instant,DS08a,0.0,5,0.0
instant,DS08b,0.0,5,0.0
instant,DS08c,0.0,5,0.0
instant,DS09a,0.0,5,0.0
instant,DS09b,0.7219280948873623,5,0.2
instant,DS09c,0.0,5,0.0
instant,DS10a,0.0,5,0.0
instant,DS10b,0.0,5,0.0
instant,DS10c,0.0,5,0.0
instant,MF01,0.7219280948873623,5,0.8
instant,MF02,0.0,5,1.0
instant,MF03,0.7219280948873623,5,0.8
instant,MF04,0.0,5,1.0
instant,MF05,0.0,5,1.0
instant,MF06,0.0,5,1.0
instant,MF07,0.7219280948873623,5,0.8
instant,MF08,0.0,5,1.0
instant,MF09,0.7219280948873623,5,0.8
instant,MF10,0.0,5,0.0
instant,MF11,0.0,5,1.0
instant,MF12,0.0,5,1.0
instant,MF13,0.0,5,1.0
instant,MF14,0.0,5,1.0
instant,MF15,0.0,5,1.0
instant,MF16,0.0,5,1.0
instant,MF17,0.0,5,0.0
instant,MF18,0.9709505944546686,5,0.6
instant,MF19,0.7219280948873623,5,0.8
instant,MF20,0.9709505944546686,5,0.6
instant,MF21,0.0,5,1.0
